Year,Product,Platform,Base_Price,Discount_Percentage,Discounted_Price
2013,Smartphone,Amazon,43708.61069626262,69.13902724663603,13488.902437847537
2013,Laptop,Amazon,95564.28757689246,24.523316290690026,72128.75507346653
2013,Television,Amazon,75879.45476302646,50.328132844352716,37690.74196831998
2013,Headphones,Amazon,63879.26357773329,55.697176919723056,28300.317127826966
2013,Washing Machine,Amazon,24041.67763981929,24.25825263954398,18209.58673916717
2013,Refrigerator,Amazon,24039.506830258237,53.692980916711576,11131.979015416106
2013,watch,Amazon,15227.525095137951,32.06698796315519,10344.516455793628
2013,Smartphone,Amazon,87955.85311974416,47.938349835614765,45791.26855030173
2013,Laptop,Amazon,64100.351056888794,48.01178264565368,33324.62983235437
2013,Television,Amazon,73726.5320016441,42.14648104448551,42653.393166814625
2013,Headphones,Amazon,11852.60448662222,15.417386203264499,10025.242677774217
2013,Washing Machine,Amazon,97291.88669457949,60.11814973535428,38801.80457118097
2013,Refrigerator,Amazon,84919.83767203796,29.24680389830415,60083.4992773388
2013,watch,Amazon,29110.519961044854,21.191110623991253,22941.677472880783
2014,Smartphone,Amazon,26364.247048639056,12.446508493285835,23082.818800539335
2014,Laptop,Amazon,26506.405886809043,45.45357659129451,14458.296385448899
2014,Television,Amazon,37381.80186635839,50.653861710536944,18446.475644066297
2014,Headphones,Amazon,57228.07884690141,10.99526973567137,50935.6972131419
2014,Washing Machine,Amazon,48875.05167779042,40.72558349795686,28970.401697082314
2014,Refrigerator,Amazon,36210.62261782377,23.589746511876278,27668.628531907005
2014,watch,Amazon,65066.76052501415,48.71036742456699,33372.502402016646
2014,Smartphone,Amazon,22554.447458683768,20.461985740299486,17939.359635884557
2014,Laptop,Amazon,36293.018368169636,51.456264286147956,17617.986919224044
2014,Television,Amazon,42972.56589643225,33.20412077803225,28703.903214761387
2014,Headphones,Amazon,51046.298579533235,66.20379932420407,17251.70950550502
2014,Washing Machine,Amazon,80665.83652537123,18.251256648759593,65943.30767325686
2014,Refrigerator,Amazon,27970.640394252376,30.46398106301551,19449.669801343163
2014,watch,Amazon,56281.09945722504,16.808411274435343,46821.14079068066
2015,Smartphone,Amazon,63317.311197583826,65.48161709671376,21856.111923247317
2015,Laptop,Amazon,14180.537144799795,62.64036120285886,5297.797456791634
2015,Television,Amazon,64679.036671129455,25.47649766290934,48201.08340521689
2015,Headphones,Amazon,25347.171131856237,49.59904276205074,12775.216883196683
2015,Washing Machine,Amazon,15854.643368675155,59.03333201207295,6495.119109515044
2015,Refrigerator,Amazon,95399.6983528,43.31204869596774,54080.134546428926
2015,watch,Amazon,96906.88297671035,41.77903470136039,56420.12270986382
2015,Smartphone,Amazon,82755.7613304815,24.5111374540271,62471.38291964058
2015,Laptop,Amazon,37415.23922560336,15.586166068353952,31583.637905028918
2015,Television,Amazon,18790.49026057455,63.83294547719961,6795.966857643494
2015,Headphones,Amazon,71580.97238609413,64.02508342979982,25751.19509603539
2015,Washing Machine,Amazon,49613.724436564116,47.986087436396076,25806.039247981855
2015,Refrigerator,Amazon,20983.441136030095,30.341787462922042,14616.69002412849
2015,watch,Amazon,54565.92191001432,30.952574476759654,37676.364291886624
2016,Smartphone,Amazon,13094.966900369654,53.557340732214364,6081.650858767989
2016,Laptop,Amazon,91838.83618709039,63.82661559715463,33221.21524505567
2016,Television,Amazon,33290.19834400152,63.22518545590704,12242.408702367264
2016,Headphones,Amazon,69627.00559185838,56.79253275145743,30084.06563724312
2016,Washing Machine,Amazon,38053.99684804698,48.52189876925726,19589.47501978128
2016,Refrigerator,Amazon,56806.121906002976,15.04839789970293,48257.71065019733
2016,watch,Amazon,59203.92514089517,19.697722845676825,47542.10005287966
2016,Smartphone,Amazon,26636.900997297435,63.913251311624755,9612.391521266045
2016,Laptop,Amazon,97262.61649881027,46.3857435795754,52146.62861088635
2016,Television,Amazon,79761.95410250031,10.55182309699778,71345.61380689591
2016,Headphones,Amazon,94554.90474077703,16.088292571961926,79342.63502494092
2016,Washing Machine,Amazon,90534.4615384884,49.81010614648335,45439.15014702018
2016,Refrigerator,Amazon,63810.99809299767,10.30369503077312,57236.107453402736
2016,watch,Amazon,92968.68115208052,19.648483085049918,74701.74556151999
2017,Smartphone,Amazon,17964.325184672754,42.924027361995165,10253.313327006033
2017,Laptop,Amazon,27638.457617723067,51.513711861561596,13400.862197549384
2017,Television,Amazon,14070.456001948427,49.11767557015603,7159.375071669852
2017,Headphones,Amazon,39279.72976869379,23.456158567633587,30066.214069211
2017,Washing Machine,Amazon,44980.95607205338,52.73075328085215,21262.159102330428
2017,Refrigerator,Amazon,34421.412859650634,24.234945249808003,26079.402298903933
2017,watch,Amazon,84586.37582367365,29.52398188955606,59613.109544460414
2017,Smartphone,Amazon,42107.799402423036,54.78948430708145,19037.15325677513
2017,Laptop,Amazon,35284.10587186427,48.97797394283288,18002.665691981023
2017,Television,Amazon,58842.64748424236,60.95340462965068,22976.050468373152
2017,Headphones,Amazon,22683.18024772864,49.4567735380206,11464.811161388465
2017,Washing Machine,Amazon,82197.72826786357,44.098516200128294,45949.749751522315
2017,Refrigerator,Amazon,16709.557931179374,15.620486069685548,14099.443762233463
2017,watch,Amazon,98819.82429404656,32.06294818356601,67135.27523555544
2018,Smartphone,Amazon,79502.02923669916,25.912142060903527,58901.35047958462
2018,Laptop,Amazon,27884.411338075515,24.639378602745015,21013.86565734033
2018,Television,Amazon,10496.990541124216,68.38063328514673,3319.0819332215265
2018,Headphones,Amazon,83391.52856093507,33.58586348000563,55383.76362456951
2018,Washing Machine,Amazon,73617.16094628554,63.522793310626795,26853.48395722511
2018,Refrigerator,Amazon,75610.64512368885,47.86831755983577,39417.10140684099
2018,watch,Amazon,79414.33120173511,57.68867821249891,33601.253220158025
2018,Smartphone,Flipkart,16664.018656068132,40.15822558631153,9972.044452419254
2018,Laptop,Flipkart,42261.915568984536,44.614233077581545,23407.086053987052
2018,Television,Flipkart,20428.215357261673,39.55106162913184,12348.639311579333
2018,Headphones,Flipkart,87679.30832880341,21.71457926788267,68640.11542021413
2018,Washing Machine,Flipkart,66096.83141448021,53.34712691569032,30836.07087254759
2018,Refrigerator,Flipkart,39780.82223673843,26.846341746451348,29101.12674951532
2018,watch,Flipkart,15720.251525742127,11.458957985887231,13918.874508131541
2019,Smartphone,Flipkart,37988.4089544096,48.72833775443007,19477.28873157073
2019,Laptop,Flipkart,39266.49898240723,20.626640764422937,31167.139296540307
2019,Television,Flipkart,75664.55605042576,66.42751506117486,25402.471684058095
2019,Headphones,Flipkart,67380.17242196918,67.23571462015525,22076.631981765433
2019,Washing Machine,Flipkart,89849.1468318694,64.89186341322691,31544.36119178301
2019,Refrigerator,Flipkart,52499.34326457544,32.20952201532666,35589.5557378701
2019,watch,Flipkart,20763.482134447153,10.927396991732046,18494.574012308756
2019,Smartphone,Flipkart,74192.03085006955,65.69911375526353,25448.524104542146
2019,Laptop,Flipkart,78470.65437552077,35.69104889903886,50463.65475095787
2019,Television,Flipkart,60514.94778125466,67.99928914262017,19365.213464973698
2019,Headphones,Flipkart,79387.04619591049,67.81719862535516,25548.975394427416
2019,Washing Machine,Flipkart,54441.603672795165,61.180567328041604,21133.92168329515
2019,Refrigerator,Flipkart,57045.95464437947,27.666933524175143,41263.0882946879
2019,watch,Flipkart,48478.69165226947,33.105863716115515,32429.40206251327
2020,Smartphone,Flipkart,12287.721406968567,61.068200291011415,4783.831086959517
2020,Laptop,Flipkart,19710.2284293974,29.01532030937666,13991.242516897924
2020,Television,Flipkart,12828.626711806082,20.16956480116555,10241.148534068721
2020,Headphones,Flipkart,67276.93701374024,43.40807574750101,38073.313234217334
2020,Washing Machine,Flipkart,38292.0382968694,66.16928644964686,12954.469788805412
